id,idDeporte,deporte,posicion
1,1,FUTBOL,PORTERO
2,1,FUTBOL,DEFENSA
3,1,FUTBOL,MEDIOCAMPISTA
4,1,FUTBOL,DELANTERO
5,2,BALONCESTO,BASE
6,2,BALONCESTO,ESCOLTA
7,2,BALONCESTO,ALERO
8,2,BALONCESTO,ALA-PIVOT
9,2,BALONCESTO,PIVOT
10,3,VOLEIBOL,COLOCADOR
11,3,VOLEIBOL,PUNTA
12,3,VOLEIBOL,CENTRAL
13,3,VOLEIBOL,LIBERO
14,3,VOLEIBOL,OPUESTO
15,4,BEISBOL,LANZADOR
16,4,BEISBOL,RECEPTOR
17,4,BEISBOL,INFIELDER
18,4,BEISBOL,OUTFIELDER
19,5,SOFTBOL,LANZADOR
20,5,SOFTBOL,RECEPTOR
21,5,SOFTBOL,INFIELDER
22,5,SOFTBOL,OUTFIELDER
23,6,HANDBALL,PORTERO
24,6,HANDBALL,CENTRAL
25,6,HANDBALL,LATERAL
26,6,HANDBALL,EXTREMO
27,6,HANDBALL,PIVOTE
28,7,HOCKEY,PORTERO
29,7,HOCKEY,DEFENSA
30,7,HOCKEY,MEDIOCAMPISTA
31,7,HOCKEY,DELANTERO
32,8,RUGBY,DELANTERO
33,8,RUGBY,RETAGUARDIA
34,8,RUGBY,MEDIO
35,9,TENIS,INDIVIDUAL
36,9,TENIS,DOBLES
